property_id,type,property_size,property_area,area_sqyd,price,purpose,built_in_year,parking_spaces,floors,bedrooms,bathrooms,servant_quarters,kitchens,store_rooms,state,city,area,tier,population,median_monthly_income
52472233-19639-1,Flat,Small (100-250),128 Sq. Yd.,128,47500000,For Sale,2023-01-01,,,2,2,,,,Sindh,Karachi,DHA Defence,1,20300000,82000
52669975-1485-1,Flat,Small (100-250),161 Sq. Yd.,161,62500000,For Sale,2023-01-01,,,2,3,,1,,Sindh,Karachi,DHA Defence,1,20300000,82000
52682686-19639-1,Flat,Small (100-250),111 Sq. Yd.,111,34500000,For Sale,2023-01-01,,,1,2,,,,Sindh,Karachi,DHA Defence,1,20300000,82000
52682616-19639-1,Flat,Small (100-250),106 Sq. Yd.,106,29800000,For Sale,2002-01-01,1,,1,2,1,4,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52669997-19639-1,Flat,Small (100-250),156 Sq. Yd.,156,46500000,For Sale,2023-01-01,,,2,2,,,,Sindh,Karachi,DHA Defence,1,20300000,82000
52704994-11073-1,Flat,Small (100-250),217 Sq. Yd.,217,26000000,For Sale,2024-01-01,1,,3,3,1,2,1,Sindh,Karachi,Jinnah Avenue,1,20300000,82000
52734010-6826-1,House,Small (100-250),240 Sq. Yd.,240,67500000,For Sale,2008-01-01,6,,9,6,,3,,Sindh,Karachi,Gulistan-e-Jauhar,1,20300000,82000
52733912-10020-1,House,Small (100-250),200 Sq. Yd.,200,16800000,For Sale,2022-01-01,,,3,3,,,,Sindh,Karachi,Bahria Town Karachi,1,20300000,82000
52686012-6838-1,House,Medium (250-500),300 Sq. Yd.,300,80000000,For Sale,2025-01-01,2,,6,6,,2,2,Sindh,Karachi,Gulistan-e-Jauhar,1,20300000,82000
52733532-10370-1,Flat,Small (100-250),189 Sq. Yd.,189,44000000,For Sale,2025-01-01,1,,3,3,1,1,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52681775-1485-1,House,Small (100-250),131 Sq. Yd.,131,52000000,For Sale,2022-01-01,,,2,3,,,,Sindh,Karachi,DHA Defence,1,20300000,82000
52681770-1485-1,House,Small (100-250),131 Sq. Yd.,131,46500000,For Sale,2025-01-01,,2,2,3,,2,2,Sindh,Karachi,DHA Defence,1,20300000,82000
52718141-8484-1,Flat,Small (100-250),106 Sq. Yd.,106,12000000,For Sale,2015-01-01,2,,2,2,1,2,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52662712-403-1,House,Medium (250-500),250 Sq. Yd.,250,105000000,For Sale,2022-01-01,,,5,6,,,,Sindh,Karachi,Jamshed Town,1,20300000,82000
52571285-6933-1,Upper Portion,Small (100-250),200 Sq. Yd.,200,45000000,For Sale,2013-01-01,2,2,4,5,1,1,1,Sindh,Karachi,Jamshed Town,1,20300000,82000
51725465-198-1,House,Medium (250-500),250 Sq. Yd.,250,75000000,For Sale,2015-01-01,2,1,4,4,1,1,1,Sindh,Karachi,Bath Island,1,20300000,82000
52188521-10370-1,Flat,Small (100-250),178 Sq. Yd.,178,39500000,For Sale,2025-01-01,1,,3,3,2,1,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52520756-8503-1,Flat,Small (100-250),161 Sq. Yd.,161,50000000,For Sale,2024-01-01,1,,1,2,,1,,Sindh,Karachi,DHA Defence,1,20300000,82000
43450742-1667-1,Flat,Small (100-250),211 Sq. Yd.,211,39000000,For Sale,2015-01-01,1,,3,3,,1,1,Sindh,Karachi,Clifton,1,20300000,82000
43450447-198-1,Flat,Small (100-250),222 Sq. Yd.,222,36000000,For Sale,2012-01-01,1,,3,4,1,1,1,Sindh,Karachi,Bath Island,1,20300000,82000
43450594-1667-1,Flat,Small (100-250),189 Sq. Yd.,189,34500000,For Sale,2015-01-01,1,,3,3,,1,1,Sindh,Karachi,Clifton,1,20300000,82000
49995097-224-1,Flat,Small (100-250),222 Sq. Yd.,222,34000000,For Sale,2020-01-01,1,,2,3,1,1,1,Sindh,Karachi,Frere Town,1,20300000,82000
52066934-5-1,Flat,Small (100-250),222 Sq. Yd.,222,46000000,For Sale,2025-01-01,3,,3,4,1,1,1,Sindh,Karachi,Clifton,1,20300000,82000
52553912-19639-1,Flat,Medium (250-500),262 Sq. Yd.,262,105000000,For Sale,2023-01-01,,,3,5,,,,Sindh,Karachi,DHA Defence,1,20300000,82000
52487289-11029-1,Flat,Medium (250-500),370 Sq. Yd.,370,57500000,For Sale,2022-01-01,,,4,5,1,1,1,Sindh,Karachi,Rashid Minhas Road,1,20300000,82000
52659111-19639-1,Flat,Tiny (<100),98 Sq. Yd.,98,35000000,For Sale,2029-01-01,2,,1,2,,1,,Sindh,Karachi,DHA Defence,1,20300000,82000
52456502-21858-1,Flat,Small (100-250),157 Sq. Yd.,157,55000000,For Sale,2028-01-01,2,,1,2,1,2,2,Sindh,Karachi,DHA Defence,1,20300000,82000
52454113-19639-1,Flat,Small (100-250),178 Sq. Yd.,178,63000000,For Sale,2010-01-01,2,,2,4,1,1,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52682980-1485-1,House,Small (100-250),111 Sq. Yd.,111,34000000,For Sale,2025-01-01,2,2,1,2,,,,Sindh,Karachi,DHA Defence,1,20300000,82000
52682990-8503-1,Flat,Small (100-250),111 Sq. Yd.,111,36000000,For Sale,2025-01-01,1,,1,2,1,2,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52733471-8298-1,House,Large (500-1000),500 Sq. Yd.,500,48500000,For Sale,2025-01-01,2,2,5,6,1,2,1,Sindh,Karachi,Bahria Town Karachi,1,20300000,82000
52456237-10027-1,House,Medium (250-500),272 Sq. Yd.,272,24000000,For Sale,2022-01-01,,,5,5,1,2,1,Sindh,Karachi,Bahria Town Karachi,1,20300000,82000
51035617-21109-1,House,Medium (250-500),375 Sq. Yd.,375,64500000,For Sale,2000-01-01,2,2,5,6,1,1,1,Sindh,Karachi,Cantt,1,20300000,82000
52713295-13691-1,House,Small (100-250),120 Sq. Yd.,120,23500000,For Sale,2025-01-01,1,2,4,6,,1,,Sindh,Karachi,Scheme 33,1,20300000,82000
52733162-8298-1,Flat,Tiny (<100),59 Sq. Yd.,59,4770000,For Sale,2028-01-01,,,1,1,,,,Sindh,Karachi,Bahria Town Karachi,1,20300000,82000
52553910-19639-1,Flat,Small (100-250),139 Sq. Yd.,139,52000000,For Sale,2023-01-01,,,2,3,,1,2,Sindh,Karachi,DHA Defence,1,20300000,82000
52553909-1485-1,Flat,Small (100-250),151 Sq. Yd.,151,47000000,For Sale,2013-01-01,1,,2,3,1,2,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52149095-6692-1,Flat,Small (100-250),139 Sq. Yd.,139,14000000,For Sale,2023-01-01,2,,2,2,,1,1,Sindh,Karachi,Federal B Area,1,20300000,82000
52732144-12954-1,Flat,Small (100-250),128 Sq. Yd.,128,25000000,For Sale,2024-01-01,1,,2,3,,1,1,Sindh,Karachi,Callachi Cooperative Housing Society,1,20300000,82000
52701251-1485-1,House,Very Large (1000-2000),"1,000 Sq. Yd.",1000,394000000,For Sale,2022-01-01,,,6,6,,,,Sindh,Karachi,DHA Defence,1,20300000,82000
52574228-1674-1,Flat,Small (100-250),111 Sq. Yd.,111,17500000,For Sale,2023-01-01,,,3,3,,,,Sindh,Karachi,DHA Defence,1,20300000,82000
52690936-1674-1,House,Small (100-250),120 Sq. Yd.,120,45000000,For Sale,2014-01-01,1,2,4,5,1,1,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52601191-11029-1,Flat,Small (100-250),200 Sq. Yd.,200,34000000,For Sale,2023-01-01,1,,3,4,,1,1,Sindh,Karachi,Rashid Minhas Road,1,20300000,82000
52609253-6834-1,Flat,Medium (250-500),300 Sq. Yd.,300,30000000,For Sale,2011-01-01,2,,4,5,1,1,1,Sindh,Karachi,Gulistan-e-Jauhar,1,20300000,82000
52676981-1483-1,House,Large (500-1000),500 Sq. Yd.,500,230000000,For Sale,2022-01-01,2,,5,6,1,1,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52507560-1483-1,House,Very Large (1000-2000),"1,000 Sq. Yd.",1000,175000000,For Sale,2011-01-01,4,,5,6,2,2,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52701258-1483-1,House,Very Large (1000-2000),"1,000 Sq. Yd.",1000,260000000,For Sale,2020-01-01,4,3,6,6,2,2,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52733981-1483-1,House,Large (500-1000),600 Sq. Yd.,600,190000000,For Sale,2024-01-01,4,3,6,6,1,2,2,Sindh,Karachi,DHA Defence,1,20300000,82000
51665577-9217-1,House,Small (100-250),120 Sq. Yd.,120,29900000,For Sale,2024-01-01,8,,6,6,2,3,2,Sindh,Karachi,Scheme 33,1,20300000,82000
52436811-9085-1,Flat,Tiny (<100),72 Sq. Yd.,72,6000000,For Sale,2016-01-01,3,,2,2,,2,2,Sindh,Karachi,Scheme 33,1,20300000,82000
52595950-18126-1,House,Small (100-250),125 Sq. Yd.,125,10800000,For Sale,2022-01-01,,,3,3,1,1,1,Sindh,Karachi,Bahria Town Karachi,1,20300000,82000
52733219-10007-1,House,Medium (250-500),272 Sq. Yd.,272,30000000,For Sale,2025-01-01,3,2,5,6,1,2,1,Sindh,Karachi,Bahria Town Karachi,1,20300000,82000
50164309-198-1,Flat,Small (100-250),233 Sq. Yd.,233,56500000,For Sale,2028-01-01,2,,3,3,1,1,,Sindh,Karachi,Bath Island,1,20300000,82000
46362967-9582-1,House,Medium (250-500),375 Sq. Yd.,375,82000000,For Sale,2015-01-01,1,1,4,5,,2,,Sindh,Karachi,Malir,1,20300000,82000
52578827-9582-1,House,Medium (250-500),350 Sq. Yd.,350,76000000,For Sale,2005-01-01,200,,4,4,,1,,Sindh,Karachi,Malir,1,20300000,82000
52507584-11073-1,Flat,Small (100-250),206 Sq. Yd.,206,30000000,For Sale,2024-01-01,,,3,4,1,1,1,Sindh,Karachi,Jinnah Avenue,1,20300000,82000
52722852-1483-1,House,Large (500-1000),500 Sq. Yd.,500,95000000,For Sale,2010-01-01,,2,5,6,1,2,,Sindh,Karachi,DHA Defence,1,20300000,82000
52627018-6927-1,House,Medium (250-500),250 Sq. Yd.,250,140000000,For Sale,2022-01-01,1,,5,6,1,1,1,Sindh,Karachi,Jamshed Town,1,20300000,82000
52733002-1674-1,House,Small (100-250),150 Sq. Yd.,150,62500000,For Sale,2022-01-01,,,4,5,,,,Sindh,Karachi,DHA Defence,1,20300000,82000
51858262-6853-1,House,Small (100-250),120 Sq. Yd.,120,18500000,For Sale,2022-01-01,,,4,5,,2,,Sindh,Karachi,Scheme 33,1,20300000,82000
52614174-19639-1,Flat,Small (100-250),131 Sq. Yd.,131,47000000,For Sale,2024-01-01,1,,2,2,1,1,,Sindh,Karachi,DHA Defence,1,20300000,82000
52613629-19639-1,House,Medium (250-500),306 Sq. Yd.,306,145000000,For Sale,2022-01-01,2,2,4,6,1,1,1,Sindh,Karachi,DHA Defence,1,20300000,82000
52686542-232-1,House,Small (100-250),240 Sq. Yd.,240,57500000,For Sale,2000-01-01,3,2,6,6,1,2,1,Sindh,Karachi,Gulistan-e-Jauhar,1,20300000,82000
52719181-6838-1,Upper Portion,Small (100-250),200 Sq. Yd.,200,20000000,For Sale,2023-01-01,,,3,3,1,1,,Sindh,Karachi,Gulistan-e-Jauhar,1,20300000,82000
52733026-6866-1,House,Large (500-1000),600 Sq. Yd.,600,120000000,For Sale,1994-01-01,1,2,5,5,1,1,1,Sindh,Karachi,Gulshan-e-Iqbal Town,1,20300000,82000
52718143-235-1,Flat,Tiny (<100),72 Sq. Yd.,72,7000000,For Sale,2012-01-01,1,,2,2,,1,1,Sindh,Karachi,Scheme 33,1,20300000,82000
52630739-13688-1,House,Small (100-250),120 Sq. Yd.,120,25000000,For Sale,2022-01-01,2,,4,5,,2,1,Sindh,Karachi,Scheme 33,1,20300000,82000
52723564-6861-1,Flat,Tiny (<100),72 Sq. Yd.,72,5800000,For Sale,2000-01-01,,,2,2,,,,Sindh,Karachi,Gulshan-e-Iqbal Town,1,20300000,82000
52689475-313-1,Flat,Small (100-250),106 Sq. Yd.,106,31700000,For Sale,2015-01-01,1,,2,2,,1,,Sindh,Karachi,Gulshan-e-Iqbal Town,1,20300000,82000
52017771-10570-1,House,Small (100-250),160 Sq. Yd.,160,13100000,For Sale,2018-01-01,2,2,3,3,1,1,1,Sindh,Karachi,Karachi Motorway,1,20300000,82000
52337389-10578-1,Flat,Small (100-250),111 Sq. Yd.,111,9300000,For Sale,2018-01-01,2,,2,3,1,1,1,Sindh,Karachi,Scheme 33,1,20300000,82000
52507420-10570-1,House,Small (100-250),240 Sq. Yd.,240,22000000,For Sale,2025-01-01,,,4,4,,1,,Sindh,Karachi,Karachi Motorway,1,20300000,82000
52568771-10578-1,Flat,Tiny (<100),72 Sq. Yd.,72,6800000,For Sale,2023-01-01,,,2,2,1,1,1,Sindh,Karachi,Scheme 33,1,20300000,82000
52721366-1670-1,Flat,Medium (250-500),267 Sq. Yd.,267,50000000,For Sale,2022-01-01,2,,3,4,1,1,1,Sindh,Karachi,Clifton,1,20300000,82000
51243132-9031-1,House,Small (100-250),152 Sq. Yd.,152,22200000,For Sale,2020-01-01,2,,3,3,1,2,1,Sindh,Karachi,Bahria Town Karachi,1,20300000,82000
